donor_id,UMAP_1,UMAP_2,SCLC_subtype__categorical
S00830,-2.00023156863948,1.39377545813719,Undefined
S02378,1.0858065440009,-0.974941973884901,SCLC-A
S02299,-0.551769320790966,2.43745636443297,Undefined
S02219,0.861549313242237,-1.40069938202699,Undefined
S02328,-1.12696868640681,-1.38577676316102,SCLC-A
S02355,0.921837504083912,0.306248659888903,Undefined
S02279,-0.636472527806958,-1.94257760544618,Undefined
S00837,-1.47126228076716,-1.6318228294452,Undefined
S02093,-0.802454297368725,-1.37973809738954,Undefined
S02275,-1.605698888128,-2.48824334641298,Undefined
S02382,3.01966058748464,-1.66544938584169,SCLC-A
S02385,2.14016574161748,-0.815184359749158,Undefined
S00944,2.41842430370549,-0.390653376777967,Undefined
S00934,-1.99565822345515,0.385120863715807,Undefined
S02360,2.06564396160344,-0.938058619697889,SCLC-A
S00933,1.97093444603185,-0.313758378227552,Undefined
S02284,0.0186342551062504,-1.97006106873353,SCLC-A
S01297,-2.32794505817195,-0.0833652069171271,SCLC-A
S00941,0.735156471903125,-1.769942527016,Undefined
S01512,2.52239536779622,-1.57226110001405,SCLC-A
S02322,0.717261727030079,1.27023171881835,SCLC-A
S02286,-1.06139642459651,-2.65113759537538,SCLC-P
S02256,-1.01874620181819,0.821813816825549,SCLC-P
S00339,2.95442306535939,-0.621387248237928,Undefined
S00539,-0.631963555638989,-2.2823617508014,Undefined
S02402,-2.55103713733455,-0.508479361732801,Undefined
S00831,-2.38218147022029,1.64709591368834,SCLC-A
S01563,-1.36419421893855,2.06433534125487,Undefined
S02209,-1.57103378040095,-1.47189784546693,SCLC-P
S02120,-1.93480951053401,0.492521042625109,SCLC-A
S02397,1.87578886287908,-0.343209033211072,SCLC-A
S02242,2.6134498073409,-1.88544679184755,SCLC-A
S01170,-1.20681602222224,-1.84034371872743,Undefined
S02241,-1.13202983600398,-2.17458224793275,SCLC-A
S02354,1.90690534847478,-1.00406718750795,Undefined
S00035,-2.2598965809991,2.02297448615233,SCLC-A
S00947,-1.70194417697688,-0.972209696968397,Undefined
S02347,1.72711318271856,-0.516060118873914,Undefined
S02065,-1.74125224811335,1.74582981566588,SCLC-A
S02376,-1.00014812213679,2.63725161055724,SCLC-A
S02292,0.221419985468189,0.925902600089709,Undefined
S01516,-1.38131553394099,-2.64089131851991,Undefined
S00841,2.94038247602681,-1.12041688462098,Undefined
S02342,1.45987778442601,0.649695629874865,Undefined
S02277,-1.30742341739436,2.39458524684111,Undefined
S02287,2.98580595391492,-1.48653340836366,SCLC-A
S02400,-0.466681067769726,-0.806761985023817,Undefined
S02285,0.523887331659595,0.471010203162829,SCLC-A
S02237,-1.25108033878108,-1.76940656205018,Undefined
S01020,0.559878761942188,-1.88368964691957,Undefined
S02384,-1.65644628268977,0.349742169181506,Undefined
S02289,-2.68355066043635,0.241610998908679,SCLC-A
S01578,0.91480034130315,-2.17359853287538,SCLC-A
S02246,-2.29530793887873,0.603044504920641,SCLC-Y
S02245,-1.91637164813777,0.810017342368762,Undefined
S00501,0.92168396251897,2.02267097930113,Undefined
S02398,0.754374439890186,-0.0800085117419562,Undefined
S02348,-0.0279119656731686,2.21587025622527,Undefined
S02273,2.62244516151647,-1.13967490692933,Undefined
S02274,-1.0633085416009,-2.38769603272279,Undefined
S02375,-1.13062268955012,1.21376203993956,SCLC-P
S00945,-1.45201570255061,1.05911540488402,Undefined
S02351,0.712288792307178,-1.13115382691224,Undefined
S02290,-1.95947391254207,1.57747196654479,SCLC-A
S00838,0.753723795587818,1.64862322310607,SCLC-A
S02255,-2.42769271594783,1.19383477667967,Undefined
S00356,0.295748884851734,-0.54575086136659,Undefined
S02297,1.16180723446111,3.02776216963927,aSCLC(Geroge et al)
S00827,-1.07913905841609,1.74952995280425,Undefined
S01524,-0.0121637032677731,-0.874739890297254,SCLC-A
S01494,0.253894503290454,-1.23633695145448,Undefined
S02248,-1.45438176852961,-2.43711114426454,SCLC-A
